target_gene,condition,n_cells,n_sig_genes,n_genes_tested,pct_sig_genes
ACTA2,IFNγ,285,0,23712,0.0
NT5E,IFNγ,283,0,23712,0.0
CSPG4,IFNγ,276,0,23712,0.0
FMN1,IFNγ,276,0,23712,0.0
RTP4,IFNγ,275,0,23712,0.0
LCP1,IFNγ,274,0,23712,0.0
NUP50-AS1,IFNγ,273,0,23712,0.0
SDC3,IFNγ,270,0,23712,0.0
CD274,IFNγ,270,0,23712,0.0
CTSD,IFNγ,268,1,23712,0.004217273954116059
LEF1-AS1,IFNγ,267,0,23712,0.0
KDR,IFNγ,266,0,23712,0.0
CD59,IFNγ,265,1,23712,0.004217273954116059
PSAP,IFNγ,265,0,23712,0.0
WNT7A,IFNγ,264,0,23712,0.0
C19orf48,IFNγ,260,0,23712,0.0
FSTL3,IFNγ,258,0,23712,0.0
TYR,IFNγ,258,0,23712,0.0
AEBP1,IFNγ,258,0,23712,0.0
HLA-A,IFNγ,257,0,23712,0.0
B2M,IFNγ,256,1,23712,0.004217273954116059
JMJD7,IFNγ,254,0,23712,0.0
IFNGR2,IFNγ,253,224,23712,0.9446693657219973
KCNN4,IFNγ,253,0,23712,0.0
LRPAP1,IFNγ,252,1,23712,0.004217273954116059
A2M,IFNγ,252,0,23712,0.0
WBP2,IFNγ,252,0,23712,0.0
CDH19,IFNγ,251,0,23712,0.0
TTLL1,IFNγ,251,0,23712,0.0
TGFB1,IFNγ,248,1,23712,0.004217273954116059
HLA-DRB5,IFNγ,248,0,23712,0.0
STOM,IFNγ,247,1,23712,0.004217273954116059
SMAD4,IFNγ,246,2,23712,0.008434547908232119
LINC00518,IFNγ,246,0,23712,0.0
RB1,IFNγ,245,0,23712,0.0
SLC25A13,IFNγ,243,0,23712,0.0
SMAD3,IFNγ,243,0,23712,0.0
ATP5MD,IFNγ,241,1,23712,0.004217273954116059
CTSO,IFNγ,241,0,23712,0.0
SLC5A3,IFNγ,240,0,23712,0.0
APOC2,IFNγ,240,0,23712,0.0
CD44,IFNγ,239,0,23712,0.0
EMP1,IFNγ,238,0,23712,0.0
CHCHD2,IFNγ,238,1,23712,0.004217273954116059
CDKN2B,IFNγ,237,0,23712,0.0
CD47,IFNγ,234,1,23712,0.004217273954116059
RBP7,IFNγ,234,0,23712,0.0
ATP1B1,IFNγ,234,1,23712,0.004217273954116059
TSC22D3,IFNγ,234,0,23712,0.0
NPC1,IFNγ,234,26,23712,0.10964912280701754
LY96,IFNγ,233,0,23712,0.0
CGAS,IFNγ,232,0,23712,0.0
FBXO32,IFNγ,232,0,23712,0.0
APOE,IFNγ,232,0,23712,0.0
IDI2-AS1,IFNγ,231,0,23712,0.0
ENPP1,IFNγ,231,0,23712,0.0
MIA,IFNγ,231,0,23712,0.0
SGK1,IFNγ,230,0,23712,0.0
SOX4,IFNγ,230,0,23712,0.0
LAMP2,IFNγ,229,1,23712,0.004217273954116059
CTSB,IFNγ,229,1,23712,0.004217273954116059
HLA-F,IFNγ,229,0,23712,0.0
SLC26A2,IFNγ,228,0,23712,0.0
GSN,IFNγ,228,0,23712,0.0
STX7,IFNγ,227,0,23712,0.0
APOD,IFNγ,227,0,23712,0.0
IDH2,IFNγ,227,0,23712,0.0
GAS5,IFNγ,226,0,23712,0.0
S100B,IFNγ,225,0,23712,0.0
CMSS1,IFNγ,225,1,23712,0.004217273954116059
JAK1,IFNγ,225,208,23712,0.8771929824561403
HLA-H,IFNγ,225,0,23712,0.0
TAPBPL,IFNγ,224,0,23712,0.0
CYP27A1,IFNγ,223,0,23712,0.0
PFDN4,IFNγ,223,0,23712,0.0
ST3GAL6-AS1,IFNγ,223,0,23712,0.0
SLC7A5P1,IFNγ,221,0,23712,0.0
JAK2,IFNγ,221,224,23712,0.9446693657219973
VDAC2,IFNγ,219,1,23712,0.004217273954116059
MC1R,IFNγ,219,0,23712,0.0
CKS1B,IFNγ,218,1,23712,0.004217273954116059
SPESP1,IFNγ,218,0,23712,0.0
TFAP2A,IFNγ,218,0,23712,0.0
CITED1,IFNγ,217,0,23712,0.0
DDR1,IFNγ,217,0,23712,0.0
NSG1,IFNγ,215,0,23712,0.0
GRN,IFNγ,215,1,23712,0.004217273954116059
CDKN2A,IFNγ,215,1,23712,0.004217273954116059
TM4SF1,IFNγ,213,0,23712,0.0
SDCBP,IFNγ,212,1,23712,0.004217273954116059
DLL3,IFNγ,212,0,23712,0.0
S100A6,IFNγ,212,1,23712,0.004217273954116059
NMRK1,IFNγ,211,0,23712,0.0
GAA,IFNγ,211,0,23712,0.0
TPP1,IFNγ,211,0,23712,0.0
CTSA,IFNγ,211,1,23712,0.004217273954116059
SPINT1,IFNγ,211,0,23712,0.0
AGA,IFNγ,211,0,23712,0.0
NPC2,IFNγ,211,1,23712,0.004217273954116059
C6orf226,IFNγ,210,0,23712,0.0
SEC11C,IFNγ,210,1,23712,0.004217273954116059
TP53,IFNγ,209,0,23712,0.0
CCND2,IFNγ,207,0,23712,0.0
NME1,IFNγ,207,1,23712,0.004217273954116059
CCR10,IFNγ,207,0,23712,0.0
SCARB2,IFNγ,206,1,23712,0.004217273954116059
TMEM173,IFNγ,205,0,23712,0.0
TIMP1,IFNγ,205,1,23712,0.004217273954116059
CD58,IFNγ,205,0,23712,0.0
RAB27A,IFNγ,205,0,23712,0.0
CORO1A,IFNγ,203,0,23712,0.0
CXCR4,IFNγ,203,0,23712,0.0
SP100,IFNγ,203,1,23712,0.004217273954116059
CDKN1A,IFNγ,202,0,23712,0.0
SAT1,IFNγ,201,0,23712,0.0
TXNDC17,IFNγ,201,13,23712,0.05482456140350877
TAPBP,IFNγ,201,1,23712,0.004217273954116059
SERPINF1,IFNγ,201,0,23712,0.0
AHNAK,IFNγ,200,1,23712,0.004217273954116059
ITGA3,IFNγ,199,1,23712,0.004217273954116059
IRF3,IFNγ,199,0,23712,0.0
CD151,IFNγ,199,1,23712,0.004217273954116059
BZW2,IFNγ,196,1,23712,0.004217273954116059
CDK4,IFNγ,196,1,23712,0.004217273954116059
CD63,IFNγ,196,1,23712,0.004217273954116059
NEAT1,IFNγ,196,0,23712,0.0
PPIA,IFNγ,195,0,23712,0.0
SERPINA3,IFNγ,195,0,23712,0.0
RNF213,IFNγ,194,0,23712,0.0
KLF4,IFNγ,194,0,23712,0.0
LRRC75A-AS1,IFNγ,193,0,23712,0.0
HSPA1A,IFNγ,192,1,23712,0.004217273954116059
TOP1MT,IFNγ,192,0,23712,0.0
UCN2,IFNγ,192,0,23712,0.0
SERPINE2,IFNγ,192,1,23712,0.004217273954116059
ARMC6,IFNγ,190,0,23712,0.0
STAT1,IFNγ,189,198,23712,0.8350202429149798
CTSL,IFNγ,189,1,23712,0.004217273954116059
STAT3,IFNγ,187,1,23712,0.004217273954116059
HLA-E,IFNγ,187,1,23712,0.004217273954116059
IRF4,IFNγ,186,0,23712,0.0
PSMB8-AS1,IFNγ,186,1,23712,0.004217273954116059
PTMA,IFNγ,185,1,23712,0.004217273954116059
DAG1,IFNγ,185,0,23712,0.0
GPNMB,IFNγ,184,0,23712,0.0
LGALS3,IFNγ,184,1,23712,0.004217273954116059
EVA1A,IFNγ,183,0,23712,0.0
EIF3K,IFNγ,182,7,23712,0.029520917678812417
ST6GALNAC2,IFNγ,182,0,23712,0.0
SSR2,IFNγ,182,1,23712,0.004217273954116059
FOS,IFNγ,182,0,23712,0.0
TIMP2,IFNγ,181,1,23712,0.004217273954116059
IFNGR1,IFNγ,178,161,23712,0.6789811066126855
LGALS3BP,IFNγ,177,1,23712,0.004217273954116059
PYGB,IFNγ,177,0,23712,0.0
TIMP3,IFNγ,177,0,23712,0.0
SNHG6,IFNγ,176,0,23712,0.0
NGFR,IFNγ,174,0,23712,0.0
SHMT2,IFNγ,173,0,23712,0.0
TRIM22,IFNγ,170,0,23712,0.0
NONO,IFNγ,170,3,23712,0.012651821862348178
EEA1,IFNγ,169,0,23712,0.0
FRZB,IFNγ,169,0,23712,0.0
GSEC,IFNγ,168,0,23712,0.0
FKBP4,IFNγ,168,1,23712,0.004217273954116059
SLC19A1,IFNγ,166,0,23712,0.0
HLA-C,IFNγ,164,2,23712,0.008434547908232119
CST3,IFNγ,163,2,23712,0.008434547908232119
GPATCH4,IFNγ,161,1,23712,0.004217273954116059
PIK3IP1,IFNγ,161,0,23712,0.0
SET,IFNγ,160,1,23712,0.004217273954116059
C1QBP,IFNγ,159,2,23712,0.008434547908232119
XAGE1A,IFNγ,158,0,23712,0.0
DDX17,IFNγ,156,0,23712,0.0
MT2A,IFNγ,156,1,23712,0.004217273954116059
MDH2,IFNγ,155,3,23712,0.012651821862348178
DDX39A,IFNγ,152,1,23712,0.004217273954116059
VAT1,IFNγ,151,0,23712,0.0
ISYNA1,IFNγ,150,0,23712,0.0
PROS1,IFNγ,149,0,23712,0.0
E2F1,IFNγ,148,1,23712,0.004217273954116059
HNRNPA1,IFNγ,148,1,23712,0.004217273954116059
SLIRP,IFNγ,147,9,23712,0.03795546558704453
HLA-B,IFNγ,147,2,23712,0.008434547908232119
JPT1,IFNγ,140,1,23712,0.004217273954116059
CCND1,IFNγ,140,8,23712,0.033738191632928474
BOLA2,IFNγ,130,0,23712,0.0
RNASEH2A,IFNγ,127,0,23712,0.0
BOLA2B,IFNγ,125,0,23712,0.0
RPSA,IFNγ,120,0,23712,0.0
MRPL47,IFNγ,119,8,23712,0.033738191632928474
TIMM50,IFNγ,116,0,23712,0.0
HASPIN,IFNγ,114,0,23712,0.0
NDUFA13,IFNγ,113,0,23712,0.0
PET100,IFNγ,112,0,23712,0.0
ACSL3,IFNγ,109,1,23712,0.004217273954116059
UQCRFS1,IFNγ,106,1,23712,0.004217273954116059
CTPS1,IFNγ,102,0,23712,0.0
P2RX4,IFNγ,102,0,23712,0.0
SINHCAF,IFNγ,102,0,23712,0.0
PFN1,IFNγ,99,1,23712,0.004217273954116059
CDK6,IFNγ,98,78,23712,0.32894736842105265
UBC,IFNγ,94,0,23712,0.0
PUF60,IFNγ,85,0,23712,0.0
FBL,IFNγ,84,0,23712,0.0
PAICS,IFNγ,82,0,23712,0.0
NOLC1,IFNγ,81,0,23712,0.0
CDC123,IFNγ,78,0,23712,0.0
UQCRH,IFNγ,75,0,23712,0.0
FOXM1,IFNγ,73,0,23712,0.0
DNMT1,IFNγ,72,1,23712,0.004217273954116059
HNRNPC,IFNγ,69,0,23712,0.0
PABPC1,IFNγ,67,0,23712,0.0
TMED10,IFNγ,63,5,23712,0.021086369770580298
RRS1,IFNγ,59,0,23712,0.0
ROMO1,IFNγ,57,0,23712,0.0
NCL,IFNγ,52,0,23712,0.0
MYC,IFNγ,49,0,23712,0.0
ILF2,IFNγ,48,1,23712,0.004217273954116059
TPRKB,IFNγ,48,0,23712,0.0
POLD2,IFNγ,47,0,23712,0.0
EEF1G,IFNγ,45,0,23712,0.0
PPA1,IFNγ,41,0,23712,0.0
FTH1,IFNγ,40,0,23712,0.0
PRELID3B,IFNγ,38,0,23712,0.0
GPI,IFNγ,36,3,23712,0.012651821862348178
CCT3,IFNγ,36,0,23712,0.0
SNRPG,IFNγ,35,0,23712,0.0
SAE1,IFNγ,30,0,23712,0.0
NACA,IFNγ,29,0,23712,0.0
EIF4A1,IFNγ,22,0,23712,0.0
IFNGR2,Co-culture,435,328,23712,1.3832658569500675
JAK2,Co-culture,401,606,23712,2.555668016194332
STAT1,Co-culture,360,278,23712,1.1724021592442646
JAK1,Co-culture,360,469,23712,1.977901484480432
IFNGR1,Co-culture,287,251,23712,1.0585357624831309
CTSD,Co-culture,270,1,23712,0.004217273954116059
CD44,Co-culture,270,1,23712,0.004217273954116059
B2M,Co-culture,268,1,23712,0.004217273954116059
CD58,Co-culture,267,0,23712,0.0
NUP50-AS1,Co-culture,262,0,23712,0.0
MFGE8,Co-culture,259,0,23712,0.0
HLA-DRB5,Co-culture,256,0,23712,0.0
IDH2,Co-culture,256,2,23712,0.008434547908232119
CSPG4,Co-culture,255,0,23712,0.0
SLC22A18,Co-culture,254,0,23712,0.0
FGFR1,Co-culture,253,0,23712,0.0
TYR,Co-culture,252,0,23712,0.0
CDKN1A,Co-culture,252,0,23712,0.0
PSAP,Co-culture,251,1,23712,0.004217273954116059
RB1,Co-culture,249,0,23712,0.0
HLA-A,Co-culture,249,0,23712,0.0
TSC22D3,Co-culture,249,0,23712,0.0
JMJD7,Co-culture,247,0,23712,0.0
TGFB1,Co-culture,247,1,23712,0.004217273954116059
FBXO32,Co-culture,247,0,23712,0.0
GSN,Co-culture,245,0,23712,0.0
FSTL3,Co-culture,245,0,23712,0.0
ACTA2,Co-culture,243,0,23712,0.0
CDH19,Co-culture,243,0,23712,0.0
SDC3,Co-culture,242,0,23712,0.0
SMAD3,Co-culture,237,0,23712,0.0
CITED1,Co-culture,236,0,23712,0.0
SLC5A3,Co-culture,236,0,23712,0.0
NT5E,Co-culture,235,0,23712,0.0
AEBP1,Co-culture,235,0,23712,0.0
RTP4,Co-culture,231,0,23712,0.0
CD59,Co-culture,231,0,23712,0.0
C19orf48,Co-culture,231,0,23712,0.0
FMN1,Co-culture,230,0,23712,0.0
LAMP2,Co-culture,230,1,23712,0.004217273954116059
LCP1,Co-culture,230,0,23712,0.0
A2M,Co-culture,229,0,23712,0.0
VDAC2,Co-culture,229,1,23712,0.004217273954116059
GAA,Co-culture,228,0,23712,0.0
NPC1,Co-culture,227,4,23712,0.016869095816464237
LY96,Co-culture,227,190,23712,0.8012820512820513
TTLL1,Co-culture,227,0,23712,0.0
HLA-H,Co-culture,226,0,23712,0.0
SLC26A2,Co-culture,225,0,23712,0.0
TIMP1,Co-culture,225,1,23712,0.004217273954116059
WBP2,Co-culture,225,1,23712,0.004217273954116059
LINC00518,Co-culture,225,0,23712,0.0
TAPBPL,Co-culture,224,0,23712,0.0
AGA,Co-culture,222,0,23712,0.0
CTSB,Co-culture,220,1,23712,0.004217273954116059
SLC25A13,Co-culture,218,0,23712,0.0
LRPAP1,Co-culture,218,1,23712,0.004217273954116059
SPINT1,Co-culture,217,0,23712,0.0
SPESP1,Co-culture,217,0,23712,0.0
STOM,Co-culture,217,1,23712,0.004217273954116059
LEF1-AS1,Co-culture,217,0,23712,0.0
SP100,Co-culture,216,1,23712,0.004217273954116059
CGAS,Co-culture,216,0,23712,0.0
PTMA,Co-culture,216,4,23712,0.016869095816464237
CD274,Co-culture,215,0,23712,0.0
GAS5,Co-culture,214,0,23712,0.0
IRF3,Co-culture,213,1,23712,0.004217273954116059
CHCHD2,Co-culture,213,1,23712,0.004217273954116059
SERPINF1,Co-culture,212,0,23712,0.0
TFAP2A,Co-culture,212,0,23712,0.0
NPC2,Co-culture,212,1,23712,0.004217273954116059
TMEM173,Co-culture,211,0,23712,0.0
CYP27A1,Co-culture,211,0,23712,0.0
RAB27A,Co-culture,211,0,23712,0.0
IDI2-AS1,Co-culture,211,0,23712,0.0
SDCBP,Co-culture,211,1,23712,0.004217273954116059
KDR,Co-culture,211,0,23712,0.0
TM4SF1,Co-culture,211,1,23712,0.004217273954116059
ATP5MD,Co-culture,211,1,23712,0.004217273954116059
HLA-F,Co-culture,210,1,23712,0.004217273954116059
S100A6,Co-culture,208,1,23712,0.004217273954116059
RBP7,Co-culture,206,0,23712,0.0
CD151,Co-culture,205,1,23712,0.004217273954116059
CMSS1,Co-culture,204,1,23712,0.004217273954116059
APOC2,Co-culture,203,0,23712,0.0
APOE,Co-culture,203,0,23712,0.0
CXCR4,Co-culture,199,0,23712,0.0
SOX4,Co-culture,199,0,23712,0.0
LRRC75A-AS1,Co-culture,199,0,23712,0.0
KCNN4,Co-culture,198,0,23712,0.0
ENPP1,Co-culture,197,0,23712,0.0
TPP1,Co-culture,197,0,23712,0.0
ITGA3,Co-culture,197,1,23712,0.004217273954116059
SEC11C,Co-culture,197,1,23712,0.004217273954116059
GPNMB,Co-culture,196,0,23712,0.0
STX7,Co-culture,196,0,23712,0.0
CTSL,Co-culture,195,1,23712,0.004217273954116059
ST3GAL6-AS1,Co-culture,195,0,23712,0.0
NMRK1,Co-culture,195,0,23712,0.0
ATP1B1,Co-culture,194,1,23712,0.004217273954116059
TIMP3,Co-culture,194,0,23712,0.0
EVA1A,Co-culture,192,0,23712,0.0
SGK1,Co-culture,191,0,23712,0.0
APOD,Co-culture,190,0,23712,0.0
MIA,Co-culture,190,0,23712,0.0
CTSO,Co-culture,189,0,23712,0.0
CCND2,Co-culture,188,0,23712,0.0
CCR10,Co-culture,188,0,23712,0.0
DDR1,Co-culture,187,0,23712,0.0
WNT7A,Co-culture,187,0,23712,0.0
CD47,Co-culture,186,0,23712,0.0
GRN,Co-culture,186,1,23712,0.004217273954116059
CTSA,Co-culture,186,1,23712,0.004217273954116059
DLL3,Co-culture,185,0,23712,0.0
TP53,Co-culture,185,0,23712,0.0
CDKN2B,Co-culture,184,0,23712,0.0
EEA1,Co-culture,184,0,23712,0.0
BZW2,Co-culture,183,1,23712,0.004217273954116059
TOP1MT,Co-culture,183,0,23712,0.0
CKS1B,Co-culture,182,1,23712,0.004217273954116059
C6orf226,Co-culture,182,0,23712,0.0
EMP1,Co-culture,181,0,23712,0.0
DAG1,Co-culture,180,0,23712,0.0
AHNAK,Co-culture,180,1,23712,0.004217273954116059
SAT1,Co-culture,179,0,23712,0.0
PSMB8-AS1,Co-culture,179,0,23712,0.0
HLA-E,Co-culture,178,1,23712,0.004217273954116059
SCARB2,Co-culture,178,1,23712,0.004217273954116059
SMAD4,Co-culture,178,3,23712,0.012651821862348178
CD63,Co-culture,178,1,23712,0.004217273954116059
NSG1,Co-culture,177,0,23712,0.0
PIK3IP1,Co-culture,177,0,23712,0.0
SNHG6,Co-culture,176,0,23712,0.0
S100B,Co-culture,176,0,23712,0.0
STAT3,Co-culture,176,1,23712,0.004217273954116059
MC1R,Co-culture,175,0,23712,0.0
SLC7A5P1,Co-culture,175,0,23712,0.0
PFDN4,Co-culture,174,0,23712,0.0
